date,method,asset,weight
2023-12-04,max_sharpe,equity_GE,0.489932619433714
2023-12-04,max_sharpe,equity_NVDA,0.1832089631154746
2023-12-04,max_sharpe,crypto_BTC-USD,0.11258967072339797
2023-12-04,max_sharpe,equity_ADBE,0.07413390450734968
2023-12-04,max_sharpe,equity_SO,0.059621984460913185
2023-12-04,max_sharpe,crypto_BCH-USD,0.04482730851748491
2023-12-04,max_sharpe,equity_INTC,0.024639801961276013
2023-12-04,max_sharpe,equity_TTWO,0.011045747280390638
2023-12-04,max_sharpe,equity_AMD,9.476787781565462e-15
2023-12-04,max_sharpe,crypto_ETC-USD,9.217326652101296e-15
2023-12-04,max_sharpe,crypto_LTC-USD,8.209002415043393e-15
2023-12-04,max_sharpe,crypto_EOS-USD,7.04544774153614e-15
2023-12-04,max_sharpe,equity_MRK,5.347791798430228e-15
2023-12-04,max_sharpe,equity_ABBV,5.18817305889432e-15
2023-12-04,max_sharpe,crypto_ADA-USD,4.896158650614881e-15
2023-12-04,max_sharpe,equity_TMUS,4.8039670736157885e-15
2023-12-04,max_sharpe,equity_MS,4.67509657215503e-15
2023-12-04,max_sharpe,equity_WMT,4.5764249015717196e-15
2023-12-04,max_sharpe,equity_DUK,4.323692560175191e-15
2023-12-04,max_sharpe,equity_AMGN,4.14364862403797e-15
2023-12-04,max_sharpe,equity_BA,4.125808178914246e-15
2023-12-04,max_sharpe,equity_QCOM,4.113563253946171e-15
2023-12-04,max_sharpe,equity_ABT,3.9354366405811125e-15
2023-12-04,max_sharpe,crypto_TRX-USD,3.749030813894131e-15
2023-12-04,max_sharpe,equity_XOM,3.714522489487509e-15
2023-12-04,max_sharpe,equity_KO,3.4850904628114154e-15
2023-12-04,max_sharpe,equity_T,3.4671954776529065e-15
2023-12-04,max_sharpe,crypto_XLM-USD,3.4116352838505678e-15
2023-12-04,max_sharpe,equity_V,3.409807758983237e-15
2023-12-04,max_sharpe,equity_MMM,3.3917323410100054e-15
2023-12-04,max_sharpe,equity_GILD,3.2466054677392936e-15
2023-12-04,max_sharpe,equity_EA,3.1973220166552993e-15
2023-12-04,max_sharpe,equity_COP,3.1720164351306145e-15
2023-12-04,max_sharpe,equity_UPS,2.9420205580812074e-15
2023-12-04,max_sharpe,equity_NEE,2.4769104472688474e-15
2023-12-04,max_sharpe,equity_CMCSA,2.3045205611457953e-15
2023-12-04,max_sharpe,equity_AEP,2.246739466663385e-15
2023-12-04,max_sharpe,equity_DIS,2.2238726436792827e-15
2023-12-04,max_sharpe,equity_SLB,2.075441365768738e-15
2023-12-04,max_sharpe,equity_NUE,1.9835381407562555e-15
2023-12-04,max_sharpe,crypto_XRP-USD,1.9760466491911916e-15
2023-12-04,max_sharpe,equity_O,1.9511080358624686e-15
